"分组","业务组别","主成分","组内主成分","方差贡献率","累计贡献率","是否用于BP建模"
"全局样本","流量热度","traffic_PC1","PC1",0.6243,0.6243,"是"
"全局样本","流量热度","traffic_PC2","PC2",0.3587,0.983,"是"
"全局样本","流量热度","traffic_PC3","PC3",0.017,1,"否"
"全局样本","流量热度","traffic_PC4","PC4",0,1,"否"
"全局样本","商业运营","commercial_PC1","PC1",0.4497,0.4497,"是"
"全局样本","商业运营","commercial_PC2","PC2",0.3406,0.7903,"是"
"全局样本","商业运营","commercial_PC3","PC3",0.1743,0.9646,"是"
"全局样本","商业运营","commercial_PC4","PC4",0.0354,1,"否"
"全局样本","内容属性","content_PC1","PC1",0.3711,0.3711,"是"
"全局样本","内容属性","content_PC2","PC2",0.3294,0.7006,"是"
"全局样本","内容属性","content_PC3","PC3",0.2994,1,"是"
"全局样本","受众偏好","audience_PC1","PC1",0.6122,0.6122,"是"
"全局样本","受众偏好","audience_PC2","PC2",0.2569,0.8691,"是"
"全局样本","受众偏好","audience_PC3","PC3",0.1309,1,"否"
"1990年及以前","流量热度","traffic_PC1","PC1",0.7634,0.7634,"是"
"1990年及以前","流量热度","traffic_PC2","PC2",0.2187,0.9822,"是"
"1990年及以前","流量热度","traffic_PC3","PC3",0.0178,1,"否"
"1990年及以前","流量热度","traffic_PC4","PC4",0,1,"否"
"1990年及以前","商业运营","commercial_PC1","PC1",0.4156,0.4156,"是"
"1990年及以前","商业运营","commercial_PC2","PC2",0.3604,0.776,"是"
"1990年及以前","商业运营","commercial_PC3","PC3",0.1801,0.9561,"是"
"1990年及以前","商业运营","commercial_PC4","PC4",0.0439,1,"否"
"1990年及以前","内容属性","content_PC1","PC1",0.4256,0.4256,"是"
"1990年及以前","内容属性","content_PC2","PC2",0.3367,0.7623,"是"
"1990年及以前","内容属性","content_PC3","PC3",0.2377,1,"是"
"1990年及以前","受众偏好","audience_PC1","PC1",0.6348,0.6348,"是"
"1990年及以前","受众偏好","audience_PC2","PC2",0.2582,0.893,"是"
"1990年及以前","受众偏好","audience_PC3","PC3",0.107,1,"否"
"1991-2009年","流量热度","traffic_PC1","PC1",0.6748,0.6748,"是"
"1991-2009年","流量热度","traffic_PC2","PC2",0.308,0.9828,"是"
"1991-2009年","流量热度","traffic_PC3","PC3",0.0172,1,"否"
"1991-2009年","流量热度","traffic_PC4","PC4",0,1,"否"
"1991-2009年","商业运营","commercial_PC1","PC1",0.4694,0.4694,"是"
"1991-2009年","商业运营","commercial_PC2","PC2",0.3403,0.8097,"是"
"1991-2009年","商业运营","commercial_PC3","PC3",0.1597,0.9694,"是"
"1991-2009年","商业运营","commercial_PC4","PC4",0.0306,1,"否"
"1991-2009年","内容属性","content_PC1","PC1",0.3643,0.3643,"是"
"1991-2009年","内容属性","content_PC2","PC2",0.3299,0.6942,"是"
"1991-2009年","内容属性","content_PC3","PC3",0.3058,1,"是"
"1991-2009年","受众偏好","audience_PC1","PC1",0.6236,0.6236,"是"
"1991-2009年","受众偏好","audience_PC2","PC2",0.2549,0.8785,"是"
"1991-2009年","受众偏好","audience_PC3","PC3",0.1215,1,"否"
"2010年及以后","流量热度","traffic_PC1","PC1",0.8295,0.8295,"是"
"2010年及以后","流量热度","traffic_PC2","PC2",0.1466,0.9761,"是"
"2010年及以后","流量热度","traffic_PC3","PC3",0.0239,1,"否"
"2010年及以后","流量热度","traffic_PC4","PC4",0,1,"否"
"2010年及以后","商业运营","commercial_PC1","PC1",0.5037,0.5037,"是"
"2010年及以后","商业运营","commercial_PC2","PC2",0.322,0.8257,"是"
"2010年及以后","商业运营","commercial_PC3","PC3",0.1451,0.9709,"是"
"2010年及以后","商业运营","commercial_PC4","PC4",0.0291,1,"否"
"2010年及以后","内容属性","content_PC1","PC1",0.3741,0.3741,"是"
"2010年及以后","内容属性","content_PC2","PC2",0.3367,0.7108,"是"
"2010年及以后","内容属性","content_PC3","PC3",0.2892,1,"是"
"2010年及以后","受众偏好","audience_PC1","PC1",0.5274,0.5274,"是"
"2010年及以后","受众偏好","audience_PC2","PC2",0.289,0.8164,"是"
"2010年及以后","受众偏好","audience_PC3","PC3",0.1836,1,"是"
